1920 AB34 2341 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]
1922 FE1E 2868 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]
1924 FE1E 2870 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]
1926 FE1E 2872 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]
1928 FE1E 2874 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]
1930 F355 2876 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]
1932 7E01 2880 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]
1934 3E80 2880 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1936 1774 2880 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1908 A919 2880 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1910 FE1E 2329 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1912 FE1E 2332 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1914 FE1E 2335 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1916 FE1E 2338 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1918 F365 2341 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1920 AB34 2345 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
1922 FE1E 2868 [556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [8, 8, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
